SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,6,01,019,Alabama,Cherokee County,24981,24978,25056,25318,25650,26088,26413,-3,78,262,332,438,325,62,256,231,205,201,198,122,440,460,418,405,411,-60,-184,-229,-213,-204,-213,0,7,14,36,42,26,58,250,467,499,585,511,58,257,481,535,627,537,-1,5,10,10,15,1,278,278,241,239,275,277,273,10.23304153,9.171397943,8.044263067,7.769917662,7.542713472,17.58804013,18.26338984,16.4024486,15.65580424,15.65684463,-7.354998601,-9.091991901,-8.358185528,-7.885886582,-8.114131159,0.279809729,0.5558423,1.412651075,1.623564885,0.990457325,9.993204621,18.54131099,19.58091351,22.61393946,19.46629588,10.27301435,19.09715329,20.99356459,24.23750435,20.45675321
050,3,6,01,021,Alabama,Chilton County,45006,45053,45262,45868,46554,47364,47708,47,209,606,686,810,344,147,540,550,577,603,608,142,655,655,555,592,591,5,-115,-105,22,11,17,1,20,73,117,245,137,26,280,626,548,558,190,27,300,699,665,803,327,15,24,12,-1,-4,0,386,386,368,349,338,337,338,11.95814649,12.07066828,12.48620458,12.84098895,12.79030629,14.5047888,14.37506858,12.01012746,12.60674205,12.4326826,-2.546642307,-2.304400307,0.476077125,0.234246896,0.357623696,0.442894314,1.60210688,2.531864708,5.217317234,2.882026254,6.200520401,13.73861517,11.85864837,11.88270619,3.996970717,6.643414715,15.34072205,14.39051308,17.10002343,6.878996971
050,3,6,01,023,Alabama,Choctaw County,12667,12623,12543,12419,12264,12090,11904,-44,-80,-124,-155,-174,-186,33,131,131,125,115,89,53,206,213,194,191,194,-20,-75,-82,-69,-76,-105,0,1,2,5,-2,-3,-23,-16,-37,-88,-95,-78,-23,-15,-35,-83,-97,-81,-1,10,-7,-3,-1,0,66,66,60,65,66,66,77,10.41087181,10.49595385,10.12842847,9.444033834,7.418521297,16.3712946,17.06594023,15.71932099,15.68530837,16.17070934,-5.960422793,-6.569986379,-5.590892517,-6.241274534,-8.752188047,0.079472304,0.16024357,0.405137139,-0.164244067,-0.250062516,-1.271556862,-2.964506049,-7.130413645,-7.801593167,-6.501625406,-1.192084559,-2.804262479,-6.725276506,-7.965837234,-6.751687922
050,3,6,01,025,Alabama,Clarke County,23086,22982,22732,22541,22336,22127,22014,-104,-250,-191,-205,-209,-113,57,300,273,291,249,251,101,431,399,336,337,342,-44,-131,-126,-45,-88,-91,0,0,3,0,8,3,-56,-128,-61,-159,-130,-26,-56,-128,-58,-159,-122,-23,-4,9,-7,-1,1,1,369,369,356,357,368,370,370,13.12508203,12.06016831,12.96878134,11.20032387,11.37264675,18.85636785,17.62639984,14.97426299,15.15867126,15.49579756,-5.731285821,-5.566231529,-2.00548165,-3.95834739,-4.123150812,0,0.132529322,0,0.359849763,0.135928049,-5.600035,-2.694762883,-7.086035163,-5.847558644,-1.178043089,-5.600035,-2.562233561,-7.086035163,-5.487708882,-1.04211504
050,3,6,01,027,Alabama,Clay County,14240,14216,14164,14206,14145,14212,14207,-24,-52,42,-61,67,-5,33,142,181,146,151,153,39,266,236,208,203,205,-6,-124,-55,-62,-52,-52,0,-1,-3,4,1,-2,-20,63,107,1,118,49,-20,62,104,5,119,47,2,10,-7,-4,0,0,258,258,242,248,248,249,256,10.00704722,12.7599577,10.29946034,10.64992771,10.76744432,18.74559549,16.63729292,14.67320377,14.31745248,14.42696787,-8.738548273,-3.877335213,-4.373743431,-3.667524773,-3.659523558,-0.070472163,-0.211491012,0.282176996,0.070529323,-0.140750906,4.4397463,7.543179415,0.070544249,8.322460063,3.448397199,4.369274137,7.331688403,0.352721244,8.392989385,3.307646293
050,3,6,01,029,Alabama,Cleburne County,15052,15062,15161,15356,15645,15838,15970,10,99,195,289,193,132,37,176,176,183,162,160,47,253,241,232,250,252,-10,-77,-65,-49,-88,-92,0,0,1,11,6,-5,14,172,250,322,273,232,14,172,251,333,279,227,6,4,9,5,2,-3,172,172,167,154,165,167,168,11.64675909,11.53455451,11.80607077,10.2912683,10.06036217,16.74221619,15.79447521,14.96725912,15.88158689,15.84507042,-5.095457102,-4.2599207,-3.161188349,-5.590318585,-5.784708249,0,0.065537242,0.709654527,0.381158085,-0.314386318,11.38206002,16.38431038,20.77352344,17.34269288,14.58752515,11.38206002,16.44984763,21.48317796,17.72385097,14.27313883
050,3,6,01,031,Alabama,Coffee County,53467,53571,54196,54818,55741,56482,56953,104,625,622,923,741,471,160,729,646,696,647,651,174,741,693,618,608,612,-14,-12,-47,78,39,39,1,26,136,184,348,84,106,584,534,658,359,351,107,610,670,842,707,435,11,27,-1,3,-5,-3,770,725,662,631,679,690,540,13.52918797,11.85168877,12.59056251,11.53061315,11.47793891,13.75189065,12.71396334,11.17955119,10.83556847,10.79032045,-0.222702683,-0.86227457,1.411011315,0.695044688,0.68761846,0.482522479,2.495092374,3.328539513,6.201937214,1.481024375,10.83819722,9.796906819,11.90314674,6.39797546,6.188566139,11.3207197,12.29199919,15.23168625,12.59991267,7.669590514
050,3,6,01,033,Alabama,Colbert County,57231,57306,57651,58048,58459,59073,59474,75,345,397,411,614,401,169,668,632,642,658,665,176,877,884,785,799,799,-7,-209,-252,-143,-141,-134,2,10,61,60,227,124,68,523,581,497,536,414,70,533,642,557,763,538,12,21,7,-3,-8,-3,406,406,379,379,404,407,409,11.62173682,10.92489996,11.02079703,11.19695062,11.21917889,15.25787903,15.28103095,13.47558516,13.59629718,13.47988562,-3.63614221,-4.356130995,-2.454788124,-2.399346561,-2.260706724,0.173978096,1.054460281,1.029981031,3.862777797,2.091997267,9.099054429,10.04330202,8.531676208,9.12092026,6.98457152,9.273032525,11.0977623,9.56165724,12.98369806,9.076568787
050,3,6,01,035,Alabama,Conecuh County,11597,11554,11316,11224,11153,11045,10899,-43,-238,-92,-71,-108,-146,29,113,134,122,112,108,45,224,224,209,229,233,-16,-111,-90,-87,-117,-125,0,0,1,5,17,4,-28,-130,0,13,-10,-24,-28,-130,1,18,7,-20,1,3,-3,-2,2,-1,130,130,121,127,122,125,129,9.881941408,11.88997338,10.90405327,10.09099919,9.843237331,19.5889812,19.8757764,18.67989454,20.63248941,21.23587313,-9.70703979,-7.985803017,-7.775841266,-10.54149022,-11.3926358,0,0.088731145,0.446887429,1.53166952,0.364564346,-11.36860516,0,1.161907316,-0.90098207,-2.187386074,-11.36860516,0.088731145,1.608794745,0.630687449,-1.822821728
050,3,6,01,037,Alabama,Coosa County,10392,10338,10346,10298,10289,10284,10161,-54,8,-48,-9,-5,-123,27,83,90,83,71,69,28,180,194,157,164,167,-1,-97,-104,-74,-93,-98,0,-1,-1,-1,-3,-3,-44,106,58,65,90,-20,-44,105,57,64,87,-23,-9,0,-1,1,1,-2,312,250,197,265,310,299,255,8.025526977,8.719240457,8.063340943,6.902250523,6.749816581,17.4047573,18.79480721,15.25234371,15.94322656,16.3365126,-9.379230323,-10.07556675,-7.189002769,-9.040976037,-9.586696014,-0.096693096,-0.09688045,-0.097148686,-0.291644388,-0.293470286,10.24946819,5.619066073,6.314664594,8.749331648,-1.956468574,10.15277509,5.522185623,6.217515908,8.45768726,-2.24993886
050,3,6,01,039,Alabama,Covington County,37564,37508,37523,37526,37940,37966,37947,-56,15,3,414,26,-19,89,462,416,447,446,445,158,710,734,620,595,600,-69,-248,-318,-173,-149,-155,0,1,3,6,52,0,4,242,328,576,125,134,4,243,331,582,177,134,9,20,-10,5,-2,2,779,779,711,710,720,729,743,12.31490984,11.08609042,11.8463944,11.7513767,11.72394715,18.92551079,19.56055377,16.43124056,15.67728506,15.80756919,-6.610600952,-8.474463351,-4.584846156,-3.92590836,-4.083622041,0.026655649,0.079947768,0.159012005,1.370115669,0,6.450667058,8.740955909,15.26515252,3.293547282,3.530357119,6.477322707,8.820903676,15.42416452,4.663662952,3.530357119
050,3,6,01,041,Alabama,Crenshaw County,13204,13174,13060,13086,13156,13139,13175,-30,-114,26,70,-17,36,41,143,173,168,182,186,60,237,244,205,208,210,-19,-94,-71,-37,-26,-24,1,6,27,15,44,34,-12,-34,76,95,-33,26,-11,-28,103,110,11,60,0,8,-6,-3,-2,0,154,154,130,152,155,154,154,10.90188305,13.23338178,12.80390214,13.84293592,14.13696131,18.06815583,18.66442286,15.62380916,15.82049819,15.96108535,-7.166272776,-5.431041077,-2.819907019,-1.977562274,-1.82412404,0.457421667,2.06532548,1.143205548,3.346643849,2.584175724,-2.59205611,5.813508759,7.240301806,-2.509982886,1.976134377,-2.134634444,7.878834239,8.383507355,0.836660962,4.560310101
050,3,6,01,043,Alabama,Cullman County,87848,88128,89579,90600,91916,92771,94009,280,1451,1021,1316,855,1238,251,995,978,1028,1047,1061,254,1344,1300,1197,1196,1186,-3,-349,-322,-169,-149,-125,0,-6,38,53,165,48,290,1860,1272,1414,831,1322,290,1854,1310,1467,996,1370,-7,-54,33,18,8,-7,1267,1249,1176,1177,1185,1211,1242,11.19820829,10.85587111,11.26476583,11.33810176,11.36095942,15.12602205,14.43009452,13.11665827,12.95164251,12.69943249,-3.927813761,-3.574223411,-1.851892437,-1.613540747,-1.33847307,-0.067526884,0.421802763,0.580771001,1.786806868,0.513973659,20.93333408,14.11929248,15.49453199,8.999009134,14.15569119,20.8658072,14.54109524,16.07530299,10.785816,14.66966485
050,3,6,01,045,Alabama,Dale County,49327,49266,49348,49473,49826,50024,49912,-61,82,125,353,198,-112,152,676,699,659,644,644,138,705,734,597,608,612,14,-29,-35,62,36,32,0,12,51,59,117,13,-79,48,135,233,44,-156,-79,60,186,292,161,-143,4,51,-26,-1,1,-1,760,760,691,719,707,729,736,13.71002089,14.14679066,13.27304404,12.89934902,12.88824848,14.29817267,14.85514213,12.02429028,12.1782674,12.24783862,-0.588151784,-0.708351464,1.248753764,0.721081622,0.640409862,0.243373152,1.032169276,1.188330195,2.343515273,0.260166507,0.973492608,2.732212789,4.692897209,0.881321983,-3.121998079,1.216865759,3.764382065,5.881227404,3.224837256,-2.861831572
050,3,6,01,047,Alabama,Dallas County,38465,38176,37486,36757,36271,35584,35140,-289,-690,-729,-486,-687,-444,101,441,445,429,429,425,164,703,602,532,512,513,-63,-262,-157,-103,-83,-88,1,10,52,70,118,81,-202,-435,-641,-455,-723,-434,-201,-425,-589,-385,-605,-353,-25,-3,17,2,1,-3,481,481,448,451,469,480,482,11.65710661,11.98766214,11.74891822,11.94071394,12.01855099,18.58264386,16.21701709,14.56975407,14.250922,14.50709802,-6.925537258,-4.229354956,-2.820835844,-2.310208058,-2.488547028,0.264333483,1.400805463,1.917072904,3.284392179,2.290594423,-11.49850652,-17.26762119,-12.46097387,-20.12386055,-12.27306148,-11.23417303,-15.86681573,-10.54390097,-16.83946837,-9.982467055
050,3,6,01,049,Alabama,DeKalb County,71620,71662,71878,72064,72633,73581,74085,42,216,186,569,948,504,187,824,799,837,854,850,222,1072,1096,932,871,864,-35,-248,-297,-95,-17,-14,4,35,168,171,534,210,49,372,356,496,438,306,53,407,524,667,972,516,24,57,-41,-3,-7,2,846,846,795,791,812,806,834,11.48112025,11.10169374,11.56900281,11.68150793,11.51246733,14.93660304,15.22835587,12.88209154,11.9140438,11.70208443,-3.455482792,-4.126662128,-1.31308873,-0.232535872,-0.189617109,0.487668943,2.334273527,2.363559714,7.304362099,2.844256633,5.183224188,4.946436759,6.855705371,5.991218351,4.144488237,5.670893131,7.280710286,9.219265085,13.29558045,6.98874487
050,3,6,01,051,Alabama,Elmore County,87976,87866,88759,89617,90478,91051,91577,-110,893,858,861,573,526,218,923,964,885,910,920,242,1061,1086,909,964,971,-24,-138,-122,-24,-54,-51,0,16,49,60,122,13,-83,986,935,827,506,566,-83,1002,984,887,628,579,-3,29,-4,-2,-1,-2,5793,5528,5224,5554,5432,5649,5477,10.45152159,10.80862896,9.828146256,10.02594627,10.07512539,12.01415428,12.17652599,10.09467226,10.62089253,10.63363778,-1.562632696,-1.367897027,-0.266526,-0.594946262,-0.558512386,0.181174805,0.549401265,0.666315,1.344137851,0.142365902,11.16489738,10.48347311,9.184041756,5.574866826,6.19839236,11.34607219,11.03287438,9.850356756,6.919004677,6.340758263
050,3,6,01,053,Alabama,Escambia County,36767,36685,36629,36632,36635,36673,36665,-82,-56,3,3,38,-8,93,448,447,433,405,398,132,662,643,524,528,537,-39,-214,-196,-91,-123,-139,0,0,4,14,12,-9,-48,129,204,84,152,142,-48,129,208,98,164,133,5,29,-9,-4,-3,-2,2067,2067,2024,2025,2040,2089,2047,12.22140383,12.20294563,11.81978244,11.04927157,10.85385476,18.05930654,17.55367795,14.30384757,14.40497627,14.64452262,-5.83790272,-5.350732313,-2.484065132,-3.355704698,-3.790667867,0,0.109198619,0.382163866,0.327385824,-0.245438927,3.519109583,5.569129551,2.292983198,4.146887107,3.872480842,3.519109583,5.678328169,2.675147065,4.474272931,3.627041916
050,3,6,01,055,Alabama,Etowah County,103423,103441,102924,102842,103227,103475,103886,18,-517,-82,385,248,411,290,1103,1205,1163,1167,1166,367,1893,1829,1589,1464,1460,-77,-790,-624,-426,-297,-294,0,19,112,123,262,72,62,149,477,698,293,629,62,168,589,821,555,701,33,105,-47,-10,-10,4,1591,1570,1437,1436,1449,1452,1509,10.6897972,11.71233343,11.28748138,11.29161789,11.24608774,18.34613428,17.77747539,15.42201884,14.16532012,14.08172221,-7.656337073,-6.065141957,-4.134537461,-2.873702238,-2.835634473,0.184139752,1.088615223,1.193774901,2.535050459,0.694441096,1.444043321,4.636334477,6.774429924,2.834999178,6.06671457,1.628183074,5.7249497,7.968204825,5.370049637,6.761155666
050,3,6,01,057,Alabama,Fayette County,16326,16331,16125,16044,15966,15921,15872,5,-206,-81,-78,-45,-49,42,182,159,189,166,165,53,320,307,243,251,254,-11,-138,-148,-54,-85,-89,0,0,0,-2,-3,-4,14,-78,75,-20,43,43,14,-78,75,-22,40,39,2,10,-8,-2,0,1,304,304,294,287,288,288,286,11.21518363,9.885293295,11.80880975,10.41176655,10.37964332,19.71900419,19.08669837,15.18275539,15.7430928,15.97836002,-8.503820557,-9.201405079,-3.373945642,-5.331326246,-5.598716699,0,0,-0.12496095,-0.188164456,-0.251627717,-4.806507271,4.662874196,-1.249609497,2.697023866,2.704997956,-4.806507271,4.662874196,-1.374570447,2.50885941,2.453370239
050,3,6,01,059,Alabama,Franklin County,32118,32088,32002,31983,32001,32189,32449,-30,-86,-19,18,188,260,98,382,443,430,430,432,105,481,492,442,429,432,-7,-99,-49,-12,1,0,1,33,109,176,437,141,-31,-48,-61,-144,-248,118,-30,-15,48,32,189,259,7,28,-18,-2,-2,1,425,425,412,402,408,413,423,11.92073646,13.84699539,13.44086022,13.3977255,13.36675021,15.01014199,15.37860436,13.81595399,13.366568,13.36675021,-3.089405523,-1.531608971,-0.375093773,0.031157501,0,1.029801841,3.407048527,5.501375344,13.61582801,4.362758749,-1.497893587,-1.906696882,-4.501125281,-7.72706029,3.651103066,-0.468091746,1.500351645,1.000250063,5.888767721,8.013861815
050,3,6,01,061,Alabama,Geneva County,26658,26698,26630,26782,27045,27331,27554,40,-68,152,263,286,223,69,271,293,312,302,302,94,530,487,432,435,442,-25,-259,-194,-120,-133,-140,0,6,30,33,129,42,63,166,319,347,286,324,63,172,349,380,415,366,2,19,-3,3,4,-3,264,264,265,261,251,255,250,10.16351635,10.97131731,11.59269512,11.1078417,11.00482828,19.8769877,18.23560249,16.05142401,15.99970575,16.1064043,-9.713471347,-7.264285179,-4.458728891,-4.891864058,-5.101576023,0.225022502,1.123343069,1.226150445,4.744740327,1.530472807,6.225622562,11.9448813,12.89315771,10.51934677,11.80650451,6.450645065,13.06822437,14.11930815,15.2640871,13.33697732
050,3,6,01,063,Alabama,Greene County,7732,7701,7585,7425,7317,7136,7067,-31,-116,-160,-108,-181,-69,28,110,76,83,83,81,36,149,137,119,123,125,-8,-39,-61,-36,-40,-44,0,0,0,0,0,-1,-20,-79,-101,-71,-142,-25,-20,-79,-101,-71,-142,-26,-3,2,2,-1,1,1,59,59,26,41,40,41,56,14.39225435,10.12658228,11.26034459,11.48550474,11.40604098,19.49496271,18.254497,16.14434948,17.02068775,17.60191509,-5.102708361,-8.127914724,-4.884004884,-5.535183007,-6.195874111,0,0,0,0,-0.140815321,-10.3362554,-13.45769487,-9.632342966,-19.64989967,-3.520383018,-10.3362554,-13.45769487,-9.632342966,-19.64989967,-3.661198338
