title,organizer_1,organizer_2,organizer_3,organizer_4,organizer_5,organizer_6,organizer_7,posted,desc,id,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,theme_1,theme_2,theme_3
Digital Inclusion In Practices,"Céline Borelle, SENSE - Orange labs / CEMS - CNRS","Valérie Peugeot, SENSE - Orange labs","Anne-Sylvie Pharabod, SENSE - Orange labs",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The lockdown experiences linked to Covid-19 have highlighted the central place of digital technologies in our daily lives. Access to rights, contacts with relatives, teleworking, eHealth: countless areas have been impacted. This context has given new impetus to the desire to deploy inclusive digital technologies. Beyond the issue of Internet access, the question of digital uses is becoming more central.
This call intends to bring together works that concern digital inclusion in practices. Contributions may deal with the following sets of questions:
1. Accompanying digital uses
According to what dynamics and what aims have digital inclusion mechanisms been put in place? Which actors are involved and which audiences are targeted? What are the accompaniment practices and postures? What place is given to the autonomy of persons?
2. Becoming digitally literate
How can the acquisition of digital skills be described? Can it be compared with the learning of other skills? What are the contours of “digital grammar” and what are the signs of its mastery?
3. Normatively framing digital uses
Do digital inclusion professionals have a dialogue with deviance specialists? What references and cultures, whether technical, legal or medical for instance, do they draw on in order to guide towards “good” uses of technologies? How is responsibility distributed among the different actors (parents, other careers, designers, etc.)?
This panel will privilege empirically-based contributions that favor a situated, relational, process-based and symmetrical approach of digital inclusion by taking into account both the point of view of accompanying people and of those accompanied. ",60,Digital inclusion, Digital literacy, Accompaniment of digital uses,NA,NA,NA,NA,NA,Governance and Public Policy,Social Justice/Social Movement,Other
"Diminished Mobility, Reciprocity, Deepening Ties to Place","Sam Coren, Brown University","Aja Grande, MIT",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				In this panel, we ask, how has the fact of diminished mobility changed our approaches to research? How has it changed our perspectives on the relationship between researcher and field site? What does it mean to do fieldwork closer to the places we call home in light of pandemic-related travel restrictions?
We suggest that lived experience is too often undervalued in the institutional production of knowledge, even or especially when knowledge is centered on some specific place. Despite this ingrained bias against the local, we propose that being from a place can afford a kind of “double vision” of the sort that Sandra Harding and other feminist STS scholars have theorized, whereby scientists, including social scientists, “and their communities be integrated into democracy-advancing projects for scientific and epistemological reasons as well as moral and political ones.”1
In staying closer to home, what alliances do we form or strengthen? Do new forms of reciprocity emerge? How does the dimension of lived experience inform our projects, when our field sites and personal geographies overlap? How do we self-situate in these contexts, whether as Indigenous, Native, local, settler, visitor, or some combination of these? How do we engage Indigenous and decolonizing methodologies responsibly? What are the potential pitfalls?
We invite researchers to share their experiences, insights, and methods relating to these questions around field site selection in an era of diminished mobility. We welcome loosely scripted presentations in various media and hope to make time at the close of this panel for an open-ended conversation.
1.Harding, Sandra G. “Rethinking Standpoint Epistemology: What is ‘Strong Objectivity?’” in The Feminist Standpoint Theory Reader. Sandra Harding (ed.), New York: Routledge, 2004. 136; And Harding, Sandra G. Sciences From Below: Feminisms, Postcolonialities, and Modernities. Durham: Duke University Press, 2008. Also see Haraway, Donna Jeanne. Simians, Cyborgs, and Women: The Reinvention of Nature. New York, NY: Routledge, 1991.
2.Smith, Linda Tuhiwai. Decolonizing Methodologies: Research and Indigenous Peoples. New York, NY: Zed Books, 1999; Tuck, Eve and K. Wayne Yang. “Decolonization is not a metaphor.” Decolonization: Indigeneity, Education & Society 1, No. 1 (2012): 1-40.",61,reciprocity, situated knowledge, place-based research, decolonial methods,NA,NA,NA,NA,Decolonial STS,Environmental/Multispecies Studies,Science Communication/Public Engagement
Diplomacy in a time of division,"Agustín Mercado, UAM Cuajimalpa","Juan Felipe Guevara-Aristizabal, Universidad Autónoma Metropolitana-Cuajimalpa, México",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Ours is a time of division and fractures—a time of crises. Given the urgent problems we must face, there is no guarantee on predicting how the agents involved, both human and other-than-human, will respond, let alone forcing one set of conditions upon them, or using them at will. In fact, we can only be certain of the divergence of obligations and requirements of the diverse parts involved (Stengers 2011).
The unstable and heterogeneous landscape of current and urgent problems calls for a radically different role for scientific practices. In this new role, they should aim to neutralize divergences, securing one expert consensual take, but rather strive to take part in a heterogeneous and ecological assembly. If we don’t take scientific practices nor the experts that they produce to be the great deciders, what role should they play? How should they behave? In what terms must they present themselves?
This is the central problem of diplomacy, as Isabelle Stengers (2005, 2020) understands it. Diplomacy is a device to render different voices equal –not interchangeable, but equally present. A diplomatic practice comes out from a group and does not necessarily seek a common ground, but merely to add their voice to the process of making a difficult decision. Our aim is to consider the political impact that different practices –related to ecological and social problems, multispecies conversations, methodological aspects of STS, or others– could have and how would they behave when rooted in diplomacy.
Stengers, Isabelle. 2005. “The cosmopolitical proposal”. In B. Latour & P. Weibel, eds. Making things public: atmospheres of democracy. Cambridge, Mass.; London: MIT Press, pp. 994–1003.
Stengers, Isabelle. 2011. Cosmopolitics I. Translated by Robert Bononno. Minneapolis: University of Minnesota Press.
Stengers, Isabelle. 2020. Réactiver le sens commun. Lecture de Whitehead en temps de débâcle. Paris: La Découverte.",62,Diplomacy, expertise, scientific practices, dissensus, ecology of practices,NA,NA,NA,Environmental/Multispecies Studies,Method and Practice,Social Justice/Social Movement
Disciplinary Translations in Science and Society,"Barbara Kirsi Silva, Universidad Alberto Hurtado",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Recent events worldwide have shown the relevance of interdisciplinary approaches to cope with uncertainty: the current pandemic and sanitary crisis, social and political protests, climate emergency -among many others- prove the need to think—and act —in novel and creative ways. More than disciplines examining phenomena from different standpoints, innovative interdisciplinary approaches need to conceptualize past and emerging problems from assemblages at the interaction of various fields. In this way, effective interdisciplinary studies could contribute to understanding our world from a more complex, dense, and purposeful perspective.
At the crossroads of society and science, STS offers a strong potential to trespass traditional knowledge production boundaries. This panel seeks to explore the role of “disciplinary translations” in studying science and societies. Disciplinary translations refer to the transfer of concepts, ideas, frameworks produced in science and applied to understand social dilemmas and vice versa. To mention just a few examples, there have been experiences of applying complex models of physics to understand social networks; chaos theory to study social behaviors in crowds; chemical transformations in matter to analyze historical processes. This panel aims to bring together proposals from different fields exploring this post-disciplinary approach to both science and society. Additionally, the purpose of this panel is to discuss how STS could contribute to shaping both compelling and effective interdisciplinary knowledge production. ",63,Interdisciplinary research, knowledge production, concept/idea translation,NA,NA,NA,NA,NA,Method and Practice,Science Communication/Public Engagement,Transnational STS
DISEASED LANDSCAPES: Health and Illness in Territories of Extraction,"Lina Beatriz Pinto-Garcia, Universidad de los Andes",Javier Lezaun,"Ann Kelly, University of Exeter","Diana Ojeda, Pontificia Universidad Javeriana",NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Through the theme of Diseased Landscapes, this panel explores how the nexus of extractivism and political conflict affects environmental and human health. It aims at bringing  together efforts in scholarly practice—including art-based methodologies and activist-oriented research—to historically, politically, and socially situate disease, toxins, pathogens, non-humans, and bodily dysfunction in violent geographies produced by legal and illegal extractivism. We ask how the health conditions of the environment and the body become entangled in places dominated by extractivist economies. What difference does it make to tell stories of armed violence, gendered and racialized dispossession, capitalism, mining, and agrarian expansion through human and more-than-human experiences of health and illness? How are evidence and ignorance about bodies and landscapes produced, used, and abused in contexts marked by extractivist activities? And finally, what practices, methods, and interventions are helpful to establish good relations, capable of disrupting the combined production of disease and violence in old, new, and future territories of extraction? ",64,disease, extractivism, health, violence, conflict,NA,NA,NA,Energy and Extraction,Environmental/Multispecies Studies,Medicine and Healthcare
Disempowerment and Empowerment with Autonomous and Intelligent Systems,"Greg Adamson, IEEE SSIT",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The relationship between technology, disempowerment, and empowerment is indisputable, but complex. Technologies of warfare have helped maintain unequal power relationships throughout history, while diffusion of technology has enabled mass literacy and widespread health care. “Power and AI” is a common subject in media today, often through a public policy lens, but is less often addressed in technology narratives.
The panel is initiated by the IEEE Society on Social Implications of Technology and the IEEE Standards Association’s Ethically Aligned Design. IEEE is a professional association of technologists with 420,000 members in 160 countries.
We are seeking to build an open community looking at empowerment and disempowerment in the development of technologies today.
The panel will be structured around three aspects: the historical legacy of disempowerment including long-standing structural oppression, which frames our technology development today; the current forms through which technology contributes to the creation and maintenance of power relations today; and issues which those developing technology should consider when seeking to create technologies which empower communities, rather than disempowering them. This has particular importance in the development of autonomous and intelligent systems.
While related to discussions of ethical design in technology, considerations of power and technology are distinct, drawing directly on the work of anthropologists, sociologists and other social scientists, legal practitioners, and those in the humanities, among others. The panel will provide insights and guidance to those developing technology, from policy framers to implementation practitioners, and we invite those interested to take part. ",65,Empowerment, disempowerment, AI,,NA,NA,NA,NA,"Big Data, AI and Machine Learning",Decolonial STS,Governance and Public Policy
Dissolving Boundaries: Creative Practice Meets STS,"Christine Wenc, Greenwood History",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				This experimental panel is intended to bring together artists, writers, musicians, and/or performers alongside STS scholars to explore the role of the nonlinear, the nonverbal, the intuitive, and the gestural in deepening our understanding of climate change, bringing to light potential solutions, and creating vocabulary and rituals for grief and mourning. Likewise, the panel is also intended to connect creative practice to STS in order to find our way past the constrictions of academic hierarchies and boundaries in order to “strive towards good relations as humans, with technologies, in our modes of knowing, within environments, across distance, and with other-than-humans” (4S2021 Conference Theme). The goal is for several short (10-20 minutes each) live performances, dances, readings, or artist presentations to be “staged” alongside complimentary STS research in ways that give permission for the nonlinear and nonquantifiable to matter as much as the logical and measurable. The “creative” panelists can be professional or nonprofessional artists; the STS scholars can also present a creative performance. Perfection is not expected; learning from the process as both giver and receiver is what matters. ",66,creative practice, performance, nonlinear, grief, climate,NA,NA,NA,Data and quantification,Science Communication/Public Engagement,Other
"Diverse, inclusive and caring engineering relations","Vivian Anette Lagesen, NTNU","Jessica M. Smith, Colorado School of Mines","Atsushi Akera, Rensselaer Polytechnic Institute","Cyrus Mody, Maastricht University",NA,NA,NA,"Posted: January 27, 2021
","
				
				
				This panel invites papers that studies efforts to make engineering and engineering education more inclusive, diverse and caring.  Engineers engage in design, development, testing, modifying, installing, inspecting, monitoring and maintaining a wide variety of infrastructures, systems and products. They make recommendations, evaluate, supervise, consult and some of them teach future engineers in colleges and universities. Engineers potentially play a pivotal role in designing for a more diverse, inclusive and caring society in the future.
We call for papers that analyze attempts to make engineering more diverse and/or caring. This could be efforts to redefine engineering practices or engineering education. Broadly speaking, this include studies of initiatives to transform engineering practices, organizations and cultures to make them more caring, ethical, diverse and inclusive and thus helping to develop a more sustainable society that protect people, cultures, communities and environments. It also invites papers about how to make engineering more welcome and inclusive for groups and minorities. It also welcomes paper discussing the need to change the understanding of engineering and what engineers are for, what changes that are called for, and what this may mean for engineering identities. Further, we welcome critical reflections on research practices, methodologies, language and perceptions in engineering studies, including the performativity of engineering studies and reflections on what represent good relations for engineering as well as reflections on how the field may configure engineers and engineering work and education. ",67,engineering, inclusion, diversity, gender, ethics,NA,NA,NA,Engineering,NA,NA
Do We Expect Scientists to Care?,"Stephen Hughes, Science and Technology Studies, University College London","Vivienne Kuh, University of Bristol",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				This panel explores what we expect of scientists when we talk about care, particularly in the
context of practical applications of STS such as training, education, or interdisciplinary research. Much has been written of late about care as a way of figuring responsible relationships and practices in science. Care is proposed as an organising device which, in acknowledging the interdependence of humans and nonhumans and the diversity of their needs, can promote attention to those needs and the development of more compassionate and nurturing worlds. This notion of care is inspiring, but what do we actually expect of scientists when we ask that they care? 
In this panel, we aim to explore encounters between scientific and STS communities where our expectations that scientists care are made explicit. These encounters might consist of
responsible research and innovation training, interdisciplinary research, ethnographic work,
teaching, or other avenues where we foreground our expectations that scientists care. The aim is to try to bring our expectations into focus, helping us to better engage with scientists and to work alongside them to develop more caring worlds.
We welcome theoretical, empirical, arts-based, or activist work which explores care expectations in, e.g., learning outcomes, assessment frameworks, speculative work, or reflexive work.
Contributions might address issues such as:
 the tensions between individual and institutional responsibility,
 the issues associated with the gendered, raced, and (dis)abled emotional labour involved in care,
 the uneven capacities of different career-stage researchers to care,
 the differing meanings of care across communities, disciplines, and cultures. ",68,Care expectations, STS practice, responsible research and innovation, engagement, emotional labour,NA,NA,NA,Governance and Public Policy,Method and Practice,Science Communication/Public Engagement
Doing and Making Times,"Filip Vostal, Institute of Philosophy of the Czech Academy of Sciences","Helge Jordheim, University of Oslo",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The goal of this panel is to address the role time and temporality in knowledge production in science and technology. The foundational assumption for doing so is to  shift the basis for time studies in the human and social sciences, even in parts of natural sciences, and challenge the centuries-old metaphysics that time is in reality abstract, universal, and intangible. Abstract time lives on in different forms: as a dimension of reality (Newton), a form of cognition (Kant), as an object of 20th- and 21st-century physics (Smolin, Barbour), or simply, in every-day time management practices, like clocks and calendars. This panel aims to offer an innovative approach. It aims to explore the opposite assumption: that time is always concrete, local, and tangible, ordered and re-ordered, made up of practices, materials, technologies, i.e. humans and nonhumans. Time – particularly its “ownership” – is also a critical parameter structuring power relations in knowledge production. Time is what we do when we measure, manage, or conceptualize orders of succession and change, but also everything that is involved in them. These practices exist and can be understood without recourse to any real, absolute, hidden time, accessible only to God or physicists.  The panel thus invites presentations that explore these doings and makings of time, as a way of generating a new STS-laden approaches to time; time, which is also nominalist, empiricist, and historicist. The panel’s other objective is to follow and expand on several successful time-oriented panels that took place in Boston, Sydney, New Orleans and Prague. ",69,time, temporality, STS, knowledge production, science, technology,NA,NA,Method and Practice,Other,NA
Domesticating pandemic troubles: modelling covid-19 in an uncertain world,"Lukas Engelmann, University of Edinburgh","Catherine Montgomery, University of Edinburgh","Kari Lancaster, University of New South Wales, Sydney","Tim Rhodes, Centre for Social Research in Health, UNSW",Steve Sturdy,NA,NA,"Posted: January 27, 2021
","
				
				
				Modelling, a scientific practice once reserved for mathematicians, epidemiologists, ecologists and economists, has assumed sudden authority in the covid-19 pandemic. The commanding presence of models in global policy has prompted questions about evidence, reliability and trust. Predictions and forecasting, grounded in formalised assumptions, have shifted the landscape of acceptable evidence in global public health. Moreover, modelling became popular: scores of armchair epidemiologists shared their newfound wisdom, the R-number and “exponential growth” became household terminology, while hashtags like #flattenthecurve entangled “science into social practices, calculations into materialisations, abstracts into affects.” (Rhodes et al 2020)
In this panel, we will survey how pandemic modelling made relations since early 2020. We will reflect on the unprecedented ways in which pandemic modelling engaged with unequal and uncertain worlds. We encourage two kinds of contributions: 1) papers which consider the impact of pandemic modelling on knowledge production, policymaking and social relations in pandemic times. Such papers might ask what models do and how they perform as evidence and how modelling has shifted, accelerated or reconfigured persisting challenges of inequality, racism and colonialism. Authors might pay attention to local, regional or national frames of reference. 2) Papers, which investigate the making of relations within models and scrutinize how practices of modelling enfold social, geographical, ecological and microbiological assumptions when forecasting the pandemic world. We invite papers focusing particularly beyond Europe and North America to ask what constitutes good relations within modelling practices, and how we might reconcile these with an ethics of care, responsibility and solidarity. ",70,covid19, modelling, forecasting, evidence, trust,,NA,NA,"Big Data, AI and Machine Learning",Governance and Public Policy,Medicine and Healthcare
"Economization of the inpatient health care sector and its effects on knowledge translation and hospital staffs` daily practice, working conditions and careers","Barbara Hendriks, Humboldt-Universität zu Berlin and German Centre for Higher Education Research and Science Studies","Martin Reinhart, Humboldt-Universität zu Berlin","Ramona Lange, Charité - Universitätsmedizin Berlin","Sebastian Starystach, CHarité - Universitätsmedizin Berlin",NA,NA,NA,"Posted: January 27, 2021
","
				
				
				One explanation for the fragile state of hospital sectors around the world during the COVID-19 pandemic can be assumed in the diffusion of economization efforts. The financialization of medical care created organizational weak points: work intensification, bureaucratization and increasing managerial control led to an exhausted work force and an economy of scarcity. However, different groups of hospital staff are affected differently: Physicians, clinical scientists, biomedical researchers, (study) nurses and management – among others –  are each characterized by specific professional tasks like medical treatment, research or management. We want to understand, how do they cope with the changed organizational setting and its inherent contradictions? Do new tasks, career patterns or professions emerge as a result? Furthermore, do the organizational changes of inpatient health care also affect the conditions for knowledge translation? Finally, what are the compounding effects of the external shock of the Covid-19-pandemic and economization efforts on the organization of inpatient health care? We invite empirical and theoretical papers discussing these and related research questions:
•	How is health care staff affected in its daily practice by the organizational change due to economization efforts?
•	What kind of behavior is developed to cope with altered framework conditions?
•	Does the financialization of health care change the organizational conditions for professional knowledge translation?
•	How is the financialization of health care affecting the response to the COVID-19-pandemic?
By answering these research questions, the panel contributes to ongoing STS debates on the complex interrelation of healthcare, (medical) translation and financialization. ",71,Translation, Medicine, Healthcare, Finanzialization, Valuation,NA,NA,NA,"Economics, Markets, Value/Valuation",Governance and Public Policy,Medicine and Healthcare
Emergence in Environmental Infrastructures,"Akshita Sivakumar, University of California at San Diego",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				This panel will engage the concept of emergence in environmental infrastructures. Emergence here is considered broadly to include the becoming of practices, discourses, and relations in excess of planned, material infrastructures for the valuation and control of environmental resources be they water, land, air, or other. Emergence is a familiar concept in complex systems theory that describes self-organizing systems like flocking and more generally describes anything that results beyond a mere sum of parts. The study of infrastructure is one of STS’s longstanding concerns regarding the commonplace sociotechnical systems that support the circulation of materials, people, and knowledge (Star and Ruhleder; Chattopadhyay; Bowker; Edwards et. al.; Anand, Gupta, and Appel; Simone). Yoked together, emergence in environmental infrastructures includes unanticipated outcomes that can influence material processes, practices, interdependencies, scripts, instruments, and institutions on a variety of spatial and temporal scales. 
We welcome papers that engage with questions such as: How can the concept of emergence deepen our understanding of the effects of environmental infrastructures? What can it tell us about implicated communities and technical systems and their corresponding epistemologies, ontologies, attunements, and politics? How can emergence in turn influence how we observe, analyze, document, and publicize environmental issues? We invite intersectional approaches that engage feminist, decolonial & postcolonial science and technology studies in order to gather expansive ways to identify relations and discourses that emerge from environmental infrastructures within conditions of inequality and uncertainty. ",72,emergence, infrastructure, environments, built environment, interdependencies,NA,NA,NA,Environmental/Multispecies Studies,Feminist STS / Queer STS,Infrastructure
"Emergent Orders in the Governance, Institutions and Knowledge Economies of Genome Editing Technologies","Santiago J Molina, University of California Berkeley","Dan Santos, Clark University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				In the wake of the rapid development of novel genome editing technologies for manipulating DNA, most notably the CRISPR-Cas9 system, a wide variety of actors are vying for influence and access over their governance, development and use. Scientists, biohackers, patients, regulators, bioethicists, disability justice advocates, venture capitalists, biopharma and agriculture firms, among others, are contributing to and contesting the development of institutions for governing these biotechnologies. Key to these dynamics are the discourses, processes and practices through which existing scientific, social, political, economic and ethical orders are disrupted, co-produced, and stabilized to form emergent orders, and how and why some possibilities are opened while others are constrained. 
This paper session invites research that examines and explores the intertwined development of genome editing technologies and social institutions from diverse perspectives and contexts, and across different applications (e.g. agriculture; health and biomedicine; environmental management and gene drives). What discourses, processes, practices and norms are important for governing these novel biotechnologies? How is increased access to and expanded use of these biotechnologies reconfiguring existing social and institutional orders, and leading to new ones? How can we imagine and enact more democratic forms of engagement with and governance of novel biotechnologies? Overall, we are interested in developing a comparative and critical picture of the emergence of new social orders as the ability to modify DNA becomes commonplace, and in doing so, identify sites where existing inequalities or asymmetries of power are reproduced and can be addressed. ",73,genome editing, institutions, governance, order, social movement,NA,NA,NA,"Genetics, Genomics, Biotechnology",Governance and Public Policy,Social Justice/Social Movement
Emerging practices in Systems and Synthetic Biology: new social and epistemic configurations in the Life Sciences,"Renan Gonçalves Leonel da Silva, Swiss Federal Institute of Technology in Zurich","Alessandro Blasimme, ETH Zurich",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				New encounters between Biology and Engineering are reconfiguring social and epistemic landscapes of the contemporary knowledge production and innovation in the Life Sciences. Over the last years, approaches as Systems and Synthetic Biology bring great debates to the research on Science and Technology Studies (STS), History and Philosophy of Biology and Biomedical Sciences, and Bioethics (Calvert and Fujimura, 2011; Schyfter and Calvert, 2015; Schyfter, 2020). This literature is strongly oriented to the analysis of emerging academic agendas, discourses, practices, conventions and promises of those fields, addressing a broader understanding of its epistemological foundations and societal implications. Systems and Synthetic Biology are well-succeeded in idealizing new ways to engineering biomedical knowledge and commercializing solutions to science, industry and medicine. Ethical, Legal and Social Implications (ELSI) of Systems and Synthetic Biology is as a great deployment of this debate and should be object of more STS-driven research. This Open Panel invites papers related to the study of practices in Systems and Synthetic Biology (in academia, policy-making, industry, medicine, etc.) and its ELSI in contemporary world. We welcome work on: new movements of engineering biological knowledge, emerging social and epistemic arenas on Systems and Synthetic Biology and its ELSI, bandwagon studies, bioethical issues in translational research, etc. We are particularly keen to encourage submissions from History and Philosophy of Biological and Biomedical Sciences, Science and Technology Policy, Sociology and Anthropology of biomedicine, Bioethics, etc. The panel aims to help expand and update a network of researchers working in this field globally ",74,Systems Biology, Synthetic Biology, knowledge production, ELSI, Bioethics,NA,NA,NA,"Genetics, Genomics, Biotechnology",Medicine and Healthcare,Other
Encounters With Failure In STS,"Jessamy Perriam, IT University of Copenhagen",Katrine Meldgaard Kjær,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Science and Technology Studies has long focused on how knowledge is made and how publics are then enrolled in it. However, these past studies have often focused on successful articulations of knowledge; we argue that what is left behind, discarded or disputed is just as generative and important to research. While not exhaustive, these may include failures in policy, failures of pilot schemes or mundane failures in everyday life. Moreover, failure also occurs in relation to research processes. In research we can, for example, encounter absences in our data where perhaps we expected it to be. This can in turn make us unable to narrate and analyse the processes that enrol publics in the various failures that stand in relief to what becomes successful. What methods might exist or be developed to help discuss and analyse failure in the face of absent data, missing voices and actors for whatever reason we struggle to follow?
This panel is primarily focused on the methods involved in researching failure or doing research in the face of failure or absence. As such, we invite papers that deal with one or both of these areas. We also welcome papers with a focus on digital methods or inventive methods. Due to the subject of the panel, we also encourage papers which reflect research projects at different stages of the research process. This panel aims to start and progress conversations amongst  researchers about how conduct studies amongst failures and absences. ",75,failure, absence, digital methods, inventive methods, data formats,NA,NA,NA,Method and Practice,NA,NA
Engineering Turn: Coping with complex problems as engineering of science?,"Stefan Karl Josef Böschen, RWTH Aachen University","Gabriele Gramelsberger, RWTH Aachen University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Science and technology are widely regarded as guarantors for increasing welfare and solving societal problems. Especially, so-called “grand challenges” (e.g. Climate change, energy transition, mobility turn) are to be solved with scientific and technological means. STS scholars so far analyzed the aligning changes as emergence of mission-oriented research, formation of transdisciplinary research practices or the transformation of science-policy interfaces. However, multifaceted changes within science itself while absorbing these complex problem situations are taking place. These are less investigated, yet.
In order to make complex systems explorable, science resorts to specific techniques: on the one hand, increasingly advanced computer technologies such as simulations and, increasingly, machine learning methods; on the other hand, strategies of engineering de novo entities such as precedentless materials, molecules or organisms in order to reduce complexity. Thus, research cultures are going to change and fundamental questions have to be addressed anew. It is not only about understanding the changes in “epistemic cultures” (Knorr Cetina), but also to understand these changes in the light of the epistemological question of how can we understand and confirm epistemic quality?
Against this background, this open panel is dedicated to the double question: Which changes of research cultures happen while addressing these forms of complexity? How can we describe these changes of epistemic quality in terms of fundamental epistemological categories (e.g. explanation, epistemic thing)? Our basic assumption is that there is a need for reshaping STS by an interdisciplinary approach combining philosophy of science as well as STS forms of investigation. ",76,epistemic culture, complexity, digitisation, grand challenge,NA,NA,NA,NA,"Big Data, AI and Machine Learning",Engineering,Method and Practice
Environ|Mental Urbanities: Problematizing ‘the Mental’ and ‘the Urban’ in Ethnographic Inquiry,"Patrick Bieler, Humboldt-Universität zu Berlin",Milena Bister,"Tomás Criado, Humboldt University of Berlin",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				 In ethnographic inquiries of urban atmospheres, biosocial relations and bodies as practiced, social science scholars situate subjective, embodied experiences in between organisms and environments (Mol 2002, Blackman 2008, Ingold/Palsson 2013, Blok/Farías 2016, Meloni et al. 2018; Seeberg et al. 2020). In doing so, they emphasize how bodily processes are permeated by environmental conditions. However, the adequacy of these approaches for the concomitant embodiment and ecological relationality of ‘mental’ experiences has hardly been addressed directly (among the exceptions are Fitzgerald et al. 2016 and Winz 2018). Relatively few ethnographic research projects attend to the mutual constitution of ‘the mental’ and ‘the environmental’ (Amin/Richaud 2020; Bister et al. 2016).
In this panel, we seek to fill this research gap through empirically grounded ethnographic inquiries into ‘mental phenomena’ as part of ‘urban’ life. Our discussion embraces the following conceptual and methodological challenges: How can we grasp elusive aspects of experiences in and of the city as dynamic co-constitutive relations between material environments, cultural practices, subjective experiences, and urban infrastructures? What concepts, methods, and research designs are suitable for combining experience-based approaches (Söderström et al. 2016) with an inquiry in ecologies of expertise (Beck 2015) that shape the urban fabric? What is left of ‘the mental’ if we problematize it ‘environmentally’? How does our research affect how we conceptualize ‘the urban’? Finally, how could our studies inform the design of cities and the crafting of urban cohabitation (Bates et al. 2017)?",77,ethnography, urbanity, mental life, ecology,NA,NA,NA,NA,Environmental/Multispecies Studies,Method and Practice,NA
"Envisioning and Building Transnational STS: Designs, Methods, Relations","Duygu Kasdogan, İzmir Katip Çelebi University","Kim Fortun, University of California Irvine",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Why is transnational STS needed and what does it look like in practice? What relationships and infrastructures does transnational STS depend on, perpetuate, and challenge? This open panel will explore different reasons and ways people pursue transnational STS, considering transnational STS a method and project design challenge. This open panel extends from extensive dialogue about TRANSnational STS at the 2018 annual 4S conference in Sydney, which spawned an array of new collaborations and further conversation. This open panel is intended to keep the dialogue going and open, taking transnational STS in new directions. In line with the theme of the 4S 2021 Toronto Conference, the panel will approach transnational STS as a space to work out decolonial, anti-racist and anti-authoritarian relations,  supporting vibrantly pluralistic knowledge production. The aim of the panel is to juxtapose different approaches and projects, learning across their differences.  We encourage papers that present past, on-going or imagined transnational projects, drawing out what they aim to achieve, what they are designed against, their workflows, modes of collaboration, infrastructures and governance. Contributions may address, among others, the following questions:
-What motivates transnational collaborations in STS and what do they aim to achieve?
-What methods and infrastructures are used in transnational STS projects?
-How are data in transnational STS projects shared and managed?
-How are transnational STS research projects administered and governed?
-What relationships are engendered and valued in transnational STS projects?
-How have differences in political contexts shaped transnational STS projects?
-What challenges have emerged in transnational STS projects? What is needed to move through them?
-How have transnational STS projects actively leveraged diverse intellectual genealogies?
-How have transnational STS projects been proactively anti-imperial?
-What has been learned in transnational STS projects about the workings of  “team science” and international research networks?
-What have transnational STS projects accomplished and what is their future? ",78,Transnational STS, transnational collaborations, research networks, infrastructures and governance, project design,NA,NA,NA,Decolonial STS,Method and Practice,Transnational STS
