LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
18648-2331,Active,Parkcrest Swim & Tennis Club,2023/06/30 05:00:00+00,Active,"1 N YELLOWSTONE DR
MADISON, WI 53705",1,N,YELLOWSTONE,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,37
1877-1213,Active,Schwoegler Park Towne Lanes,2023/06/30 05:00:00+00,Active,"444 GRAND CANYON DR
MADISON, WI 53719",444,,GRAND CANYON,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,38
19524-4475,Active,Woodland Unit Owners Association,2023/06/30 05:00:00+00,Active,"34 OAK GROVE DR
MADISON, WI 53717",34,,OAK GROVE,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,39
19803-4575,Active,Oriental Shop,2023/06/30 05:00:00+00,Active,"1029 S PARK ST
MADISON, WI 53715",1029,S,PARK,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,40
2050-1324,Active,Silver Dollar,2023/06/30 05:00:00+00,Active,"117 W MIFFLIN ST
MADISON, WI 53703",117,W,MIFFLIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,41
2082-1414,Active,Toby's Supper Club,2023/06/30 05:00:00+00,Active,"3717 S DUTCH MILL RD
MADISON, WI 53718",3717,S,DUTCH MILL,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,42
20909-5093,Active,Point Cinemas,2023/06/30 05:00:00+00,Active,"7825 BIG SKY DR
MADISON, WI 53719",7825,,BIG SKY,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,43
20978-5128,Active,Sauk Creek Condominium,2023/06/30 05:00:00+00,Active,"7542 WIDGEON WAY
MADISON, WI 53717",7542,,WIDGEON,WAY,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,44
21069-5174,Active,The Monticello,2023/06/30 05:00:00+00,Active,"5015 SHEBOYGAN AVE
MADISON, WI 53705",5015,,SHEBOYGAN,AVE,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,45
22063-5658,Active,Yahara Landing Apartments,2023/06/30 05:00:00+00,Active,"1624 FORDEM AVE
MADISON, WI 53704",1624,,FORDEM,AVE,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,46
2301-1490,Active,Gef I State Office Building,2023/06/30 05:00:00+00,Active,"201 E WASHINGTON AVE
MADISON, WI 53702",201,E,WASHINGTON,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,47
23318-6502,Active,First United Methodist Church,2023/06/30 05:00:00+00,Active,"203 WISCONSIN AVE
MADISON, WI 53703",203,,WISCONSIN,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,48
2348-1525,Active,Ymca-- East Branch,2023/06/30 05:00:00+00,Active,"711 COTTAGE GROVE RD
MADISON, WI 53716",711,,COTTAGE GROVE,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,49
2348-1526,Active,Ymca-- East Branch,2023/06/30 05:00:00+00,Active,"711 COTTAGE GROVE RD
MADISON, WI 53716",711,,COTTAGE GROVE,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,50
2348-71846,Active,Ymca-- East Branch,2023/06/30 05:00:00+00,Active,"711 COTTAGE GROVE RD
MADISON, WI 53716",711,,COTTAGE GROVE,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,51
23659-6924,Active,Barrymore Theatre,2023/06/30 05:00:00+00,Active,"2090 ATWOOD AVE
MADISON, WI 53704",2090,,ATWOOD,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,52
24659-8049,Active,Madison Senior Center,2023/06/30 05:00:00+00,Active,"330 W MIFFLIN ST
MADISON, WI 53703",330,W,MIFFLIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,53
25069-8660,Active,Woody & Anne's,2023/06/30 05:00:00+00,Active,"2236 WINNEBAGO ST
MADISON, WI 53704",2236,,WINNEBAGO,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,54
25246-33722,Active,Smoky Jon's,2023/06/30 05:00:00+00,Active,"2310 PACKERS AVE
MADISON, WI 53704",2310,,PACKERS,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,55
25599-31901,Active,Olbrich Botanical Gardens,2023/06/30 05:00:00+00,Active,"3330 ATWOOD AVE
MADISON, WI 53704",3330,,ATWOOD,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,56
27576-12462,Active,Michael's Frozen Custard,2023/06/30 05:00:00+00,Active,"3826 ATWOOD AVE
MADISON, WI 53714",3826,,ATWOOD,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,57
27650-12569,Active,Subway,2023/06/30 05:00:00+00,Active,"3702 E WASHINGTON AVE
MADISON, WI 53704",3702,E,WASHINGTON,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,58
27867-12899,Active,Baymont Inn & Suites,2023/06/30 05:00:00+00,Active,"8102 EXCELSIOR DR
MADISON, WI 53717",8102,,EXCELSIOR,DR,,,,,,,,,2022/11/16 11:00:10+00,Hotel/Motel,MADISON,59
27867-12900,Active,Baymont Inn & Suites,2023/06/30 05:00:00+00,Active,"8102 EXCELSIOR DR
MADISON, WI 53717",8102,,EXCELSIOR,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,60
27867-12901,Active,Baymont Inn & Suites,2023/06/30 05:00:00+00,Active,"8102 EXCELSIOR DR
MADISON, WI 53717",8102,,EXCELSIOR,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,61
27867-12903,Active,Baymont Inn & Suites,2023/06/30 05:00:00+00,Active,"8102 EXCELSIOR DR
MADISON, WI 53717",8102,,EXCELSIOR,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,62
28513-13744,Active,State Street Brats,2023/06/30 05:00:00+00,Active,"603 STATE ST
MADISON, WI 53703",603,,STATE,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,63
28707-14046,Active,Eurest @ Covance,2023/06/30 05:00:00+00,Active,"3301 KINSMAN BLVD
MADISON, WI 53704",3301,,KINSMAN,BLVD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,64
29401-63968,Active,Dutch Mill Sports Club,2023/06/30 05:00:00+00,Active,"4818 DUTCH MILL RD
MADISON, WI 53716",4818,,DUTCH MILL,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,65
30585-15092,Active,Oakbridge Swimming Pool,2023/06/30 05:00:00+00,Active,"7917 TREE LN
MADISON, WI 53717",7917,,TREE,LN,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,66
32032-15320,Active,Players Sports Bar,2023/06/30 05:00:00+00,Active,"2013 WINNEBAGO ST
MADISON, WI 53704",2013,,WINNEBAGO,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,67
3228-1609,Active,Rocky Rococo Pan-style Pizza,2023/06/30 05:00:00+00,Active,"1618 W BELTLINE HWY
MADISON, WI 53713",1618,W,BELTLINE,HWY,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,68
3229-1612,Active,Rocky Rococo Pan-style Pizza,2023/06/30 05:00:00+00,Active,"4556 MONONA DR
MADISON, WI 53716",4556,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,69
3232-1617,Active,Bennett's Meadowood Country Club,2023/06/30 05:00:00+00,Active,"2009 FREEPORT RD
MADISON, WI 53711",2009,,FREEPORT,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,70
32513-16323,Active,Horseshoe Bar,2023/06/30 05:00:00+00,Active,"3900 DEMPSEY RD
MADISON, WI 53716",3900,,DEMPSEY,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,71
32521-15721,Active,Morningside On The Green,2023/06/30 05:00:00+00,Active,"4665 HAYES RD
MADISON, WI 53704",4665,,HAYES,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,72
32760-16056,Active,Monty's Blue Plate Diner,2023/06/30 05:00:00+00,Active,"2089 ATWOOD AVE
MADISON, WI 53704",2089,,ATWOOD,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,73
32984-85194,Active,Curt's Popcorn,2023/06/30 05:00:00+00,Active,"1521 GILSON ST
MADISON, WI 53715",1521,,GILSON,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Mobile Cart,MADISON,74
33012-16396,Active,Cherokee Garden Condominiums,2023/06/30 05:00:00+00,Active,"1620 N GOLF GLEN
MADISON, WI 53704",1620,N,GOLF GLEN,,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,75
33444-16999,Active,Parkway Family Restaurant,2023/06/30 05:00:00+00,Active,"1221 ANN ST
MADISON, WI 53713",1221,,ANN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,76
34679-19032,Active,Hong Kong Cafe,2023/06/30 05:00:00+00,Active,"2 S MILLS ST
MADISON, WI 53715",2,S,MILLS,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,77
34761-18941,Active,Mickie's Dairy Bar,2023/06/30 05:00:00+00,Active,"1511 MONROE ST
MADISON, WI 53711",1511,,MONROE,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,78
36155-87968,Active,Stella's,2023/06/30 05:00:00+00,Active,"2908 SYENE RD
MADISON, WI 53713",2908,,SYENE,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,79
36858-21505,Active,Subway,2023/06/30 05:00:00+00,Active,"652 N HIGH POINT RD
MADISON, WI 53717",652,N,HIGH POINT,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,80
37829-23402,Active,Rocky Rococo Pan-style Pizza,2023/06/30 05:00:00+00,Active,"7952 TREE LN
MADISON, WI 53717",7952,,TREE,LN,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,81
37880-22699,Active,Madison Masonic Center Foundation,2023/06/30 05:00:00+00,Active,"301 WISCONSIN AVE
MADISON, WI 53703",301,,WISCONSIN,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,82
37884-22705,Active,Hotel Ruby Marie,2023/06/30 05:00:00+00,Active,"522 E WILSON ST
MADISON, WI 53703",522,E,WILSON,ST,,,,,,,,,2022/11/16 11:00:10+00,Hotel/Motel,MADISON,83
381-391,Active,Chocolate Shoppe Ice Cream,2023/06/30 05:00:00+00,Active,"1726 FORDEM AVE
MADISON, WI 53704",1726,,FORDEM,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,84
38242-23161,Active,Concourse Hotel And Governors Club,2023/06/30 05:00:00+00,Active,"1 W DAYTON ST
MADISON, WI 53703",1,W,DAYTON,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,85
38242-23162,Active,Concourse Hotel And Governors Club,2023/06/30 05:00:00+00,Active,"1 W DAYTON ST
MADISON, WI 53703",1,W,DAYTON,ST,,,,,,,,,2022/11/16 11:00:10+00,Hotel/Motel,MADISON,86
38242-35745,Active,Concourse Hotel And Governors Club,2023/06/30 05:00:00+00,Active,"1 W DAYTON ST
MADISON, WI 53703",1,W,DAYTON,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,87
38242-35746,Active,Concourse Hotel And Governors Club,2023/06/30 05:00:00+00,Active,"1 W DAYTON ST
MADISON, WI 53703",1,W,DAYTON,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,88
39046-24237,Active,Supreme Health & Fitness Club,2023/06/30 05:00:00+00,Active,"5555 ODANA RD 204
MADISON, WI 53719",5555,,ODANA,RD,204,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,89
39101-24320,Active,Park Street Mini Mart,2023/06/30 05:00:00+00,Active,"950 S PARK ST
MADISON, WI 53715",950,S,PARK,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,90
39744-25294,Active,Walgreens #2848,2023/06/30 05:00:00+00,Active,"606 S WHITNEY WAY
MADISON, WI 53711",606,S,WHITNEY,WAY,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,91
39865-29164,Active,Woodmans Food Market #16,2023/06/30 05:00:00+00,Active,"3705 MILWAUKEE ST
MADISON, WI 53714",3705,,MILWAUKEE,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,92
39996-25657,Active,Chocolate Shoppe Ice Cream,2023/06/30 05:00:00+00,Active,"466 STATE ST
MADISON, WI 53703",466,,STATE,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,93
40159-26087,Active,Tex Tubb's Taco Palace,2023/06/30 05:00:00+00,Active,"2009 ATWOOD AVE
MADISON, WI 53704",2009,,ATWOOD,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,94
40318-1010,Active,Club Lamark,2023/06/30 05:00:00+00,Active,"1525 N STOUGHTON RD
MADISON, WI 53704",1525,N,STOUGHTON,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,95
40506-26319,Active,Stonefield Terrace,2023/06/30 05:00:00+00,Active,"845 PEBBLE BEACH DR
MADISON, WI 53717",845,,PEBBLE BEACH,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,96
40941-26928,Active,Forest Run Apartments,2023/06/30 05:00:00+00,Active,"3269 FOREST RUN CT
MADISON, WI 53704",3269,,FOREST RUN,CT,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,97
41100-27102,Active,High Point Swim Club,2023/06/30 05:00:00+00,Active,"901 N HIGH POINT RD
MADISON, WI 53717",901,N,HIGH POINT,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,98
41100-27103,Active,High Point Swim Club,2023/06/30 05:00:00+00,Active,"901 N HIGH POINT RD
MADISON, WI 53717",901,N,HIGH POINT,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,99
41100-39784,Active,High Point Swim Club,2023/06/30 05:00:00+00,Active,"901 N HIGH POINT RD
MADISON, WI 53717",901,N,HIGH POINT,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,100
41298-27314,Active,Greenbush Bar,2023/06/30 05:00:00+00,Active,"914 REGENT ST
MADISON, WI 53715",914,,REGENT,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,101
42367-28835,Active,Madison Residence Inn,2023/06/30 05:00:00+00,Active,"4862 HAYES RD
MADISON, WI 53704",4862,,HAYES,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,102
42367-28836,Active,Madison Residence Inn,2023/06/30 05:00:00+00,Active,"4862 HAYES RD
MADISON, WI 53704",4862,,HAYES,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,103
42367-28838,Active,Madison Residence Inn,2023/06/30 05:00:00+00,Active,"4862 HAYES RD
MADISON, WI 53704",4862,,HAYES,RD,,,,,,,,,2022/11/16 11:00:10+00,Hotel/Motel,MADISON,104
42567-45416,Active,China Cottage,2023/06/30 05:00:00+00,Active,"5957 MCKEE RD, SUITE 3
FITCHBURG, WI 53719",5957,,MCKEE,RD,3,,,,,,,,2022/11/16 11:00:10+00,Restaurant Mobile Cart,FITCHBURG,105
42751-29542,Active,Wando's,2023/06/30 05:00:00+00,Active,"602 UNIVERSITY AVE
MADISON, WI 53715",602,,UNIVERSITY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,106
42969-29712,Active,Clary's Gourmet Popcorn,2023/06/30 05:00:00+00,Active,"105 STATE ST
MADISON, WI 53703",105,,STATE,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,107
43227-31712,Active,Bowl-a-vard Lanes,2023/06/30 05:00:00+00,Active,"2121 EAST SPRINGS DR
MADISON, WI 53704",2121,,EAST SPRINGS,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,108
43466-30419,Active,Prentice Park Apartments,2023/06/30 05:00:00+00,Active,"803 N THOMPSON DR
MADISON, WI 53704",803,N,THOMPSON,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,109
43466-30420,Active,Prentice Park Apartments,2023/06/30 05:00:00+00,Active,"803 N THOMPSON DR
MADISON, WI 53704",803,N,THOMPSON,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,110
43783-30840,Active,Yorktown Estates,2023/06/30 05:00:00+00,Active,"251 S YELLOWSTONE DR
MADISON, WI 53705",251,S,YELLOWSTONE,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,111
43783-30841,Active,Yorktown Estates,2023/06/30 05:00:00+00,Active,"251 S YELLOWSTONE DR
MADISON, WI 53705",251,S,YELLOWSTONE,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,112
43958-31060,Active,Dairyland Family Restaurant,2023/06/30 05:00:00+00,Active,"716 COTTAGE GROVE RD
MADISON, WI 53716",716,,COTTAGE GROVE,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,113
44679-29718,Active,Great Dane Pub And Brewing,2023/06/30 05:00:00+00,Active,"123 E DOTY ST
MADISON, WI 53703",123,E,DOTY,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,114
44833-32307,Active,Walgreens #3343,2023/06/30 05:00:00+00,Active,"7810 MINERAL POINT RD
MADISON, WI 53717",7810,,MINERAL POINT,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,115
44836-32418,Active,Blue Moon,2023/06/30 05:00:00+00,Active,"2535 UNIVERSITY AVE
MADISON, WI 53705",2535,,UNIVERSITY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,116
45380-33031,Active,Cracker Barrel Old Country Store #214,2023/06/30 05:00:00+00,Active,"2147 EAST SPRINGS DR
MADISON, WI 53704",2147,,EAST SPRINGS,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,117
